Entry Id,unique_id,Packet Type,Subject,Packet Time,Start UTC,End UTC,Duration,Time Bin,Energy Bin,Pixel Mask,FITS
56002,2510200300,Pixel data,Flare 2510200605,1/1/2026,2025-10-20T06:01:57,2025-10-20T06:13:06,669,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T060201-20251020T061311_V02_2510200300-52553.fits
56003,2510200438,Pixel data,Flare 2510201028,1/1/2026,2025-10-20T10:27:17,2025-10-20T10:30:55,218,1,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T102730-20251020T103112_V02_2510200438-52554.fits
56004,2510200630,Pixel data,Flare 2510201331,1/1/2026,2025-10-20T13:28:53,2025-10-20T13:35:19,386,2,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T132904-20251020T133531_V02_2510200630-52555.fits
56005,2510206890,Pixel data,Flare 2510201340,1/1/2026,2025-10-20T13:37:46,2025-10-20T13:44:40,414,4,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T133751-20251020T134454_V02_2510206890-52556.fits
56006,2510201782,Pixel data,Flare 2510201519,1/1/2026,2025-10-20T14:43:56,2025-10-20T15:33:12,2956,4,4 – 45 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T144405-20251020T153312_V02_2510201782-52557.fits
56007,2510201213,Pixel data,Flare 2510201725,1/1/2026,2025-10-20T17:23:29,2025-10-20T17:27:47,258,1,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T172336-20251020T172758_V02_2510201213-52558.fits
56008,2510206084,Pixel data,Flare 2510201738,1/1/2026,2025-10-20T17:48:16,2025-10-20T17:55:45,449,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T174818-20251020T175546_V02_2510206084-52559.fits
56009,2510200973,Pixel data,Flare 2510201907,1/1/2026,2025-10-20T19:04:38,2025-10-20T19:12:48,490,2,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T190448-20251020T191251_V02_2510200973-52560.fits
56010,2510207249,Pixel data,Flare 2510201917,1/1/2026,2025-10-20T19:16:02,2025-10-20T19:19:59,237,2,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T191618-20251020T192011_V02_2510207249-52561.fits
56011,2510207256,Pixel data,Flare 2510201925,1/1/2026,2025-10-20T19:23:22,2025-10-20T19:27:13,231,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T192324-20251020T192715_V02_2510207256-52562.fits
56012,2510200477,Pixel data,Flare 2510202040,1/1/2026,2025-10-20T20:34:44,2025-10-20T20:49:25,881,4,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T203446-20251020T204927_V02_2510200477-52563.fits
56013,2510200557,Pixel data,Flare 2510202130,1/1/2026,2025-10-20T21:20:09,2025-10-20T21:38:12,1083,4,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T212010-20251020T213815_V02_2510200557-52564.fits
56014,2510200185,Pixel data,Flare 2510202320,1/1/2026,2025-10-20T23:15:05,2025-10-20T23:24:38,573,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251020T231507-20251020T232439_V02_2510200185-52565.fits
56015,2510217687,Pixel data,Flare 2510210052,1/1/2026,2025-10-21T00:49:50,2025-10-21T00:57:47,477,1,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251021T005004-20251021T005802_V02_2510217687-52566.fits
56016,2510210592,Pixel data,Flare 2510210556,1/1/2026,2025-10-21T05:52:04,2025-10-21T06:03:06,662,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251021T055222-20251021T060315_V02_2510210592-52567.fits
56017,2510212233,Pixel data,Flare 2510210720,1/1/2026,2025-10-21T06:56:34,2025-10-21T07:36:07,2373,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251021T065635-20251021T073615_V02_2510212233-52568.fits
56018,2510214400,Pixel data,Flare 2510210751,1/1/2026,2025-10-21T07:35:54,2025-10-21T08:04:59,1745,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251021T073555-20251021T080500_V02_2510214400-52569.fits
56019,2510210264,Pixel data,Flare 2510211709,1/1/2026,2025-10-21T17:02:13,2025-10-21T17:17:53,940,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251021T170214-20251021T171754_V02_2510210264-52570.fits
56020,2510210259,Pixel data,Flare 2510211917,1/1/2026,2025-10-21T19:11:56,2025-10-21T19:23:26,690,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251021T191205-20251021T192335_V02_2510210259-52571.fits
56021,2510224820,Pixel data,Flare 2510220028,1/1/2026,2025-10-22T00:16:57,2025-10-22T00:38:59,1322,8,4 – 25 keV,All Big,solo_L1_stix-sci-xray-cpd_20251022T001658-20251022T003900_V02_2510224820-52572.fits
