Entry Id,Product Group,Product Type,Begin UTC,End UTC,Filename
438321,science,Pixel data,2025-10-20T17:23:36,2025-10-20T17:27:58,solo_L1_stix-sci-xray-cpd_20251020T172336-20251020T172758_V02_2510201213-52558.fits
438322,science,Pixel data,2025-10-20T17:48:18,2025-10-20T17:55:46,solo_L1_stix-sci-xray-cpd_20251020T174818-20251020T175546_V02_2510206084-52559.fits
438323,science,Pixel data,2025-10-20T19:04:48,2025-10-20T19:12:51,solo_L1_stix-sci-xray-cpd_20251020T190448-20251020T191251_V02_2510200973-52560.fits
438324,science,Pixel data,2025-10-20T19:16:18,2025-10-20T19:20:11,solo_L1_stix-sci-xray-cpd_20251020T191618-20251020T192011_V02_2510207249-52561.fits
438325,science,Pixel data,2025-10-20T19:23:24,2025-10-20T19:27:15,solo_L1_stix-sci-xray-cpd_20251020T192324-20251020T192715_V02_2510207256-52562.fits
438326,science,Pixel data,2025-10-20T20:34:46,2025-10-20T20:49:27,solo_L1_stix-sci-xray-cpd_20251020T203446-20251020T204927_V02_2510200477-52563.fits
438327,science,Pixel data,2025-10-20T21:20:10,2025-10-20T21:38:15,solo_L1_stix-sci-xray-cpd_20251020T212010-20251020T213815_V02_2510200557-52564.fits
438328,quicklook,Calibration spectrum,2025-12-31T02:22:32,2026-01-01T02:37:36,solo_L1_stix-cal-energy_20251231_V03U.fits
438329,housekeeping,Housekeeping data,2026-01-01T00:00:29,2026-01-01T09:40:45,solo_L1_stix-hk-maxi_20260101_V02U.fits
438330,auxiliary,auxiliary,2025-12-30T00:00:31,2025-12-30T23:59:26,solo_ANC_stix-asp-ephemeris_20251230_V02U.fits
